Item,Qty,Unit Cost ($),Purpose / Justification,Total Cost ($),Category
FAA Part 107 Exam & Prep Materials,1,150,Certification preparation,150,Admin/Legal
LLC Filing Fee,1,75,Legal entity formation fee,75,Admin/Legal
SDVOSB Registration & SAM.gov Setup,1,0,Federal veteran business registration (free),0,Admin/Legal
Website Setup & Domain Registration,1,200,"Domain, hosting, website setup",200,Admin/Legal
Operating Agreement (legal draft),1,200,Internal governance document,200,Admin/Legal
DVBE Certification Fee,1,300,Disabled Veteran certification fee,300,Admin/Legal
NDVI/Multi-Spectral Lens Filters,1,120,Optional optical upgrades,120,Hardware
Starlink Standard Kit,1,599,Starlink hardware kit,599,Hardware
iPad + Smart Pencil,1,750,For in-field map viewing,750,Hardware
Field Laptop (Acer Predator Helios Neo 16),1,1499,High-spec laptop for image processing,1499,Hardware
Drone Hard Case (Pelican-style),1,250,Rugged case for drone and accessories,250,Hardware
DJI 100W Charging Hub,1,104,Charge up to 3 batteries,104,Hardware
TB30 Intelligent Flight Batteries (x4),1,1420,Extra flight capacity,1420,Hardware
DJI Mavic 3 Multispectral,1,5108,Primary NDVI drone,5108,Hardware
Social Media Setup & Initial Ads,1,300,Initial advertising budget,300,Hardware
"Safety Gear (vest, glasses, hard hat)",1,300,Safety PPE for field compliance,300,Hardware
DroneDeploy Subscription (optional),1,200,Optional mission planner,200,Hardware
Office365 or Google Workspace Sub,1,70,Email + cloud storage,70,Hardware
"Field Tools (stakes, markers, notepad)",1,100,Surveying field tools,100,Hardware
DJI RC Pro Controller,1,1100,Pro-level remote w/ range,1100,Hardware
Anker Solix 1200 + Solar Panel,1,999,Power backup for field + Starlink,999,Hardware
DJI Mavic 3 Multispectral Drone,1,6132,Latest drone price (highest from vendors),6132,Hardware
Solar Panel Kit 100W Portable,1,350,Supplemental solar charging,350,Hardware
External SSD 1TB NVMe,1,200,Fast data storage,200,Hardware
Starlink Roam Satellite Internet,1,600,Reliable internet in remote locations,600,Hardware
Laptop — Acer Predator Helios 300,1,1300,Powerful processing for drone data and deliverables,1300,Hardware
Charging Cables & Adapters,1,150,Necessary cables and adapters,150,Hardware
NDVI Calibration Panel,1,200,Calibration accuracy for multispectral data,200,Hardware
Tripod / Landing Pad,1,150,Stable drone launch/landing,150,Hardware
Anker Solix 1200 Portable Power,1,1200,Field power station,1200,Hardware
Misc Accessories & Tools,1,150,"Calibration tools, cases, cables",150,Hardware
Google Voice Business Number Setup,1,60,Business phone number setup ($5/month x 12 months),60,Hardware
Extra DJI Mavic 3M Batteries,4,190,Ensure long field operation without downtime,760,Hardware
SD Cards 128GB UHS-II,3,50,High-speed storage for flights,150,Hardware
Business Cards + Promo Materials,1,500,Marketing & branding,500,Marketing
"Marketing Collateral (flyers, cards)",1,300,Printed client outreach materials,300,Marketing
Logo Design & Branding Package,1,500,"Professional logo, business cards, flyers",500,Marketing
DJI Care Enterprise (Basic),1,399,Crash + damage protection,399,Service
Business Insurance (Annual Est.),1,1200,Liability and drone coverage,1200,Service
General Liability Insurance,1,1200,Insurance for drone operations,1200,Service
12 Months Starlink Mobile Plan,1,1800,12-month plan for remote ops,1800,Service
Pix4Dfields Perpetual License - Annual Support,1,585,Optional annual support renewal,585,Software
Pix4DFields License,1,150,Used for NDVI processing,150,Software
Pix4Dfields Annual License,1,1000,Primary drone mapping and analysis software,1000,Software
DroneDeploy Annual License (optional),1,1200,Optional supplementary software,1200,Software
GIS / QGIS Software,1,0,Open-source GIS platform,0,Software
Pix4Dfields Perpetual License,1,3900,Alternative to annual license (one-time),3900,Software
QGIS (free/open source),1,0,Used for mapping analysis,0,Software
