Grant Name,Source,Amount,Status,Due Date,Submission Link,Notes
Farmer Veteran Coalition Fellowship Fund,FVC,20000,Researching,,https://farmvetco.org/fvfellowship/,Vet startup grant — high priority
USDA Urban Agriculture and Innovative Production Grant,USDA,100000,Researching,,https://www.federalregister.gov/documents/2024/05/03/urban-agriculture-grant,Urban Ag expansion opportunity
USDA Value-Added Producer Grant (VAPG),USDA,75000,Researching,,https://www.rd.usda.gov/programs-services/value-added-producer-grants,NDVI/value-added ag services — may need producer tie-in
Hiring Our Heroes Military Spouse Career Advancement,Hiring Our Heroes,4000,Researching,,https://www.hiringourheroes.org/milspouse-events/,Kami may be eligible — supports women/vets
California Dept. of Food and Agriculture Healthy Soils Program,CDFA,100000,Researching,,https://www.cdfa.ca.gov/oefi/healthysoils/,Focus on soil health — possible match for scan services
SBA Veteran-Owned Business Grant,SBA,10000,Researching,,https://www.sba.gov/funding-programs/grants,Vet business specific funding
Amber Grant for Women Entrepreneurs,Amber Grant,10000,Researching,,https://ambergrantsforwomen.com/,Women-owned monthly + yearly grants
Nav Small Business Grant,Nav,10000,Researching,,https://www.nav.com/business-grant-contest/,General small biz grant, quick app
IFundWomen Grant Program,IFundWomen,25000,Researching,,https://www.ifundwomen.com/grants,Women-run business pitch grant
Southern California Edison Agricultural Grant,SCE,25000,Researching,,https://www.sce.com/residential/assistance/agriculture,Regional ag support in SoCal
USDA Beginning Farmer and Rancher Development Program,USDA,250000,Researching,,https://nifa.usda.gov/funding-opportunity/beginning-farmer-and-rancher-development-program-bfrdp,Massive USDA funding for first-time farmers
CalOSBA Microbusiness COVID Relief Grant (Kern County),CalOSBA,2500,Researching,,https://calosba.ca.gov,Kern-based COVID microgrant — confirm availability
Kern County Women’s Business Center (MCScorp),MCScorp,5000,Researching,,https://www.mcscorp.org,Local microgrant for women — training linked
