Grant Name,Source,Amount,Status,Due Date,Submission Link,Notes
Farmer Veteran Coalition Fellowship Fund,FVC,20000,Researching,,https://farmvetco.org/fvfellowship/,High priority for veteran-owned businesses
USDA Urban Agriculture and Innovative Production Grant,USDA,100000,Researching,,https://www.federalregister.gov/documents/2024/05/03/urban-agriculture-grant,Urban Ag expansion opportunity
USDA Value-Added Producer Grant (VAPG),USDA,75000,Researching,,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Can help fund NDVI processing services
Hiring Our Heroes Military Spouse Career Advancement,Hiring Our Heroes,4000,Researching,,https://www.hiringourheroes.org/milspouse-events/,Kami may be eligible — supports women/vets
California Department of Food and Agriculture (CDFA) Healthy Soils Program,CDFA,100000,Researching,,https://www.cdfa.ca.gov/oefi/healthysoils/,Focus on soil health — possible match for scan services
SBA Veteran-Owned Business Grant,SBA,10000,Researching,,https://www.sba.gov/funding-programs/grants,Vet business specific funding
Amber Grant for Women Entrepreneurs,Amber Grant,10000,Researching,,https://ambergrantsforwomen.com/,Kami eligible — great for dual-certification
Nav Small Business Grant,Nav,10000,Researching,,https://www.nav.com/business-grant-contest/,Small biz relief & tools boost
IFundWomen Grant Program,IFundWomen,5000,Researching,,https://www.ifundwomen.com/grants,"Pitch-based, female-run biz bonus"
Southern California Edison Agricultural Grant,SCE,25000,Researching,,https://www.sce.com/residential/assistance/agriculture,Regional ag support in SoCal
USDA Beginning Farmer and Rancher Development Program,USDA,250000,Researching,,https://nifa.usda.gov/funding-opportunity/beginning-farmer-and-rancher-development-program-bfrdp,Massive USDA funding for first-time farmers
CalOSBA Microbusiness COVID-19 Relief Grant Program,CalOSBA,2500,Researching,,https://calosba.ca.gov,State COVID-19 relief — may still be open
